reviews.text,reviews.rating
I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,3.0
This kindle is light and easy to use especially at the beach!!!,5.0
"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",4.0
"I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.",5.0
Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.,5.0
This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,5.0
"I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.",5.0
I bought my Kindle about 2 months ago and the battery is already dead and will not charge,4.0
"amazon kindle is always the best ebook, upgrade every new model",5.0
"It's beyond my expectation, and it can even show music score. Not fast turning though.",5.0
If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.,5.0
"Love my kindle, makes reading at night so easy and it feels like you are reading a real book.",5.0
Good product for child. Who only need to read the books,5.0
This Kindle is a convenient size yet lettering is easy to read.,5.0
"I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.",5.0
It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright,3.0
Great product for myself! And I bought it when there was great deal on it!,5.0
Item work well and was easy to read from in day light,4.0
Great product and service will refer to a friend. And the sales man r good,5.0
Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!,4.0
"I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.",1.0
This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.,4.0
"Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device",5.0
The Amazon Kindle is light weight and easy to use.,4.0
"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",4.0
Love the simplicity. Also love that I use it for reading only and can't download distracting apps.,5.0
My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.,5.0
I've wanted a kindle for a while and decided to get it when BB put it on sale. I am not disappointed.,5.0
I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.,5.0
"I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",4.0
My fiancée really enjoyes it! I would definitely recommend.,4.0
"Simple, great buy for your money if you are an avid reader.",4.0
I like the changes that have been made since my current 4 year old unit was purchased,4.0
Fits nicely in your hand and its touchable. increase the size of the fonts,5.0
"Great buy, do a lot of reading and he no glear screen is awesome while in the sun.",4.0
I lie the size and weight for the kindle-makes it very convenient to take large books with me in digital format.,4.0
Great price and works great for book reading. Would recommend,5.0
Got it when it was on sale. Totally fall in love with it. Bring with it me everywhere.,5.0
I never used kindle before. My wife gifted me on my birthday. This is the amazing product. I am using it for daily reading. The display is fantastic and no strain on eyes.,5.0
I bought this with paper white and didn’t see much of a difference in terms of resolution and use. I totally recommend this reader as it’s so small and powerful!,5.0
The sales people are really nice and knowledgeable to me I will come back again,5.0
I'm a longtime Kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift. She loved it!,5.0
"Overall good product, does what is advertised, comfortable to use.",5.0
"The kindle has come in very handy lately, I always have a book to read and this is great to just grab on the go. Battery life is great, only drawback is no backlight.",5.0
"I am loving my new Kindle! I have wanted one for a while and finally bought one, and even though it was the cheapest one, it has exceeded my expectations. I love how there is no glare.",4.0
"I already has an older version of the Kindle, but this one is even better. I love the touch screen and the ability to scroll without buttons.",5.0
"Bought this for my 90+ year-old, totally no-tech mom. Her first e-book is Gone with the Wind. She likes the size and ease of use.",4.0
"Amazon kindle products have always been reliable, consistent quality and this is no different. Very happy with it.",5.0
working well and very cheap if we think in the price way,4.0
"The battery doesn't last as long as was advertised, if you have the money I would recommend the backlit model.",4.0
"This Kindle doesn't have a lighted screen like the pricier models but it has a higher dpi screen than the lower model. It's exactly what I needed, nothing more, nothing less. I've had no problems with the reader at all so far so I'll give it 5 stars.",5.0
The kindle is good to download apps for books catch up with reading,3.0
"After the first one stopped working after only 3 weeks-best Buy replaced it with no fuss and it's going great. Small, lightweight (so fits in a purse/handbag) and with the anti-glare screen you can read in direct sunlight",4.0
"I bought this Kindle Paperwhite for my son to use at school, instead of his more expensive and delicate tablet. The display options make it adaptable for just about anyone, and is much easier on the eyes when reading for an extended period of time. Please keep in mind that this does not have a glowlight. The Kindle is durable, and although I bought a case for it, a case really isnt necessary if you are relatively careful with it. The most surprising thing about this has been the extra long battery life. My son is an avid reader, and noticed that he needs to charge his Kindle considerably less than when he uses his tablet.",5.0
"Great item, easy to use,would recommend to anybody want to use!",5.0
I bought this as a gift to my dad and he loves it. Well worth if you dont plan on reading in dark.,5.0
the future of reading you just have this and it is like a whole library,5.0
"I bought this for my daughter, wanting to get her a kindle without having access to games (like with the kindle fire). This latest version of the kindle is excellent. I am jealous of my daughter and now am thinking about upgrading from my older kindle. The touchscreen is responsive. If you like reading on the kindle, it is worth the update.",5.0
